9 1 0 9 1 0 8 1 0 8 1 0 10 7 6 10 7 6 9 8 6 9 8 6
8 1 0 8 1 0 7 1 0 7 1 0 9 8 6 9 8 6 8 9 5 8 9 5
9 1 1 9 1 1 8 1 1 8 1 1 9 7 5 9 7 5 8 8 5 8 8 5
9 2 1 9 2 1 9 2 1 9 2 1 9 6 6 9 6 6 9 6 6 9 6 6
10 2 2 10 2 2 10 2 2 10 2 2 10 5 5 10 5 5 10 5 5 10 5 5
9 3 3 9 3 3 9 3 3 9 3 3 9 5 5 9 5 5 9 5 5 9 5 5
9 4 6 9 4 6 9 4 6 9 4 6 9 4 4 9 4 4 9 4 4 9 4 4
7 7 7 7 7 7 7 7 7 7 7 7 7 4 5 7 4 5 7 4 5 7 4 5
6 9 7 6 9 7 6 9 7 6 9 7 6 3 4 6 3 4 6 3 4 6 3 4
7 9 8 7 9 8 7 9 8 7 9 8 7 1 0 7 1 0 7 1 0 7 1 0
7 9 7 7 9 7 7 9 7 7 9 7 7 1 0 7 1 0 7 1 0 7 1 0
6 11 8 6 11 8 6 11 8 6 11 8 5 1 0 5 1 0 5 1 0 5 1 0
4 18 6 4 18 6 4 18 6 4 18 6 3 1 0 3 1 0 3 1 0 3 1 0
5 14 9 5 14 9 5 14 9 5 14 9 4 1 0 4 1 0 4 1 0 4 1 0
6 12 9 6 12 9 6 12 9 6 12 9 5 1 0 5 1 0 5 1 0 5 1 0
5 14 8 5 14 8 5 14 8 5 14 8 4 1 0 4 1 0 4 1 0 4 1 0
6 12 10 6 12 10 6 12 10 6 12 10 5 1 0 5 1 0 5 1 0 5 1 0
5 14 10 5 14 10 5 14 10 5 14 10 4 1 0 4 1 0 4 1 0 4 1 0
5 14 9 5 14 9 5 14 9 5 14 9 4 1 0 4 1 0 4 1 0 4 1 0
6 12 8 6 12 8 6 12 8 6 12 8 5 1 0 5 1 0 5 1 0 5 1 0
6 11 7 6 11 7 6 11 7 6 11 7 6 1 0 6 1 0 6 1 0 6 1 0
5 13 6 5 13 6 5 13 6 5 13 6 5 2 1 5 2 1 5 2 1 5 2 1
5 13 3 5 13 3 5 13 3 5 13 3 5 2 1 5 2 1 5 2 1 5 2 1
7 9 5 7 9 5 7 9 5 7 9 5 7 2 1 7 2 1 7 2 1 7 2 1
7 9 4 7 9 4 7 9 4 7 9 4 6 2 1 6 2 1 6 2 1 6 2 1
7 9 5 7 9 5 7 9 5 7 9 5 7 1 1 7 1 1 7 1 1 7 1 1
7 9 5 7 9 5 7 9 5 7 9 5 6 2 1 6 2 1 6 2 1 6 2 1
6 11 6 6 11 6 6 11 6 6 11 6 5 2 1 5 2 1 5 2 1 5 2 1
6 11 8 6 11 8 6 11 8 6 11 8 6 1 0 6 1 0 6 1 0 6 1 0
7 10 7 7 10 7 7 10 7 7 10 7 6 1 0 6 1 0 6 1 0 6 1 0
6 12 8 6 12 8 6 12 8 6 12 8 5 1 0 5 1 0 5 1 0 5 1 0
4 18 9 4 18 9 4 18 9 4 18 9 3 1 0 3 1 0 3 1 0 3 1 0
5 14 9 5 14 9 5 14 9 5 14 9 4 1 0 4 1 0 4 1 0 4 1 0
5 14 10 5 14 10 5 14 10 5 14 10 5 1 0 5 1 0 5 1 0 5 1 0
6 11 9 6 11 9 6 11 9 6 11 9 6 2 0 6 2 0 6 2 1 6 2 1
7 8 9 7 8 9 7 8 9 7 8 9 7 3 1 7 3 1 7 3 1 7 3 1
